State Suburbs by Family Composition (FMCF) and Total Family Income (weekly) (FINF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Counting: Families, Place of Usual Residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Composition (FMCF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Family Income (weekly) (FINF),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Family type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allenby Gardens,0,0,3,0,0,29,21,12,18,12,21,20,13,14,3,0,0,13,5,0,0,0,0,0,8,7,5,18,29,44,39,30,21,0,14,5,23,0,0,5,0,5,6,12,9,10,7,7,5,4,5,0,0,0,0,0,0,0,0,10,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,5,6,49,43,27,49,48,70,63,48,35,3,14,5,36,5
Allendale East,0,0,0,0,0,3,3,0,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,7,13,7,0,0,0,0,0,9,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,7,10,20,7,0,0,0,0,0,9,0
Alma (SA),0,0,0,0,0,3,0,0,0,7,3,0,4,4,0,0,0,3,0,9,0,0,0,0,0,0,0,6,0,11,7,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,4,0,6,7,14,7,4,4,0,0,0,8,0
Altona (SA),0,0,0,0,0,0,3,5,0,6,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,4,5,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,10,5,13,6,0,0,0,0,6,0
American River,0,0,0,0,0,3,6,3,3,4,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,6,6,4,6,3,0,0,0,0,0,17,0
Andamooka,0,0,3,6,0,8,0,4,4,3,8,3,0,5,3,0,0,7,0,0,0,0,0,0,0,3,0,7,8,3,5,10,5,3,0,3,5,0,0,0,0,0,0,8,3,10,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,16,6,14,11,11,11,8,10,10,6,0,3,12,4
Andrews Farm,0,6,4,5,0,40,28,31,44,63,140,78,12,7,3,0,0,24,3,0,0,0,5,0,15,42,49,138,104,167,98,26,25,4,0,0,96,5,0,0,7,10,36,93,88,49,32,26,13,17,4,0,0,0,0,22,18,0,0,0,0,0,4,5,9,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,20,36,152,163,138,214,193,325,193,42,32,7,0,0,149,26
Angaston,0,0,6,0,7,38,28,27,20,18,39,14,15,8,0,0,0,23,7,0,0,0,0,0,4,10,12,25,16,46,32,27,8,0,0,6,31,4,0,0,0,7,5,22,13,7,8,11,3,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,12,64,51,46,53,45,88,50,42,16,0,0,6,57,11
Angle Park,0,0,0,0,0,21,9,9,0,5,17,22,5,0,0,0,0,6,0,0,0,0,0,10,11,10,12,21,22,31,20,11,4,0,0,0,6,3,0,0,0,8,7,15,6,7,13,7,5,3,0,0,0,0,0,3,7,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,47,34,28,34,34,53,45,16,4,0,0,0,15,10
Angle Vale,0,0,0,0,4,33,14,11,10,26,27,34,14,11,5,0,0,9,3,0,0,4,0,0,5,11,26,38,36,80,67,38,27,11,9,4,55,8,0,0,0,0,0,3,7,5,8,3,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,41,32,42,56,65,113,101,52,38,16,9,4,71,11
Ardrossan,0,0,3,0,5,65,31,29,15,13,19,14,7,5,0,0,0,13,7,0,0,0,0,0,0,3,12,0,11,10,10,0,0,0,0,0,15,0,0,0,0,0,4,6,9,6,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,71,46,47,19,24,29,24,7,5,0,0,0,33,7
Armagh,0,0,0,0,0,10,6,0,4,6,4,3,0,3,0,0,6,4,0,0,0,0,0,0,0,0,0,9,5,9,5,8,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,13,11,17,8,8,11,0,0,6,12,0
Arno Bay,0,0,0,0,5,9,3,3,4,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,11,4,0,8,3,7,0,0,0,0,8,0
